quote_date,shop_code,item_id_raw,region,price,indicator_box,item_id,description,region_name
2013-05-01,5297.0,640406,2.0,55.0,,640406,HOTEL 1 NIGHT PRICE,London
2008-01-01,522.0,640406,2.0,73.5,,640406,HOTEL 1 NIGHT PRICE,London
2006-08-01,540.0,640406,2.0,40.0,,640406,HOTEL 1 NIGHT PRICE,London
2015-06-01,5289.0,640406,2.0,404.0,,640406,HOTEL 1 NIGHT PRICE,London
2010-10-01,5108.0,640406,13.0,75.0,Q,640406,HOTEL 1 NIGHT PRICE,Northern Ireland
2023-07-01,18027.0,640406,2.0,118.99,,640406,HOTEL 1 NIGHT PRICE,London
2007-05-01,524.0,640406,2.0,202.0,,640406,HOTEL 1 NIGHT PRICE,London
2011-05-01,542.0,640406,2.0,156.0,,640406,HOTEL 1 NIGHT PRICE,London
2011-06-01,5245.0,640406,2.0,60.0,,640406,HOTEL 1 NIGHT PRICE,London
2006-09-01,502.0,640406,7.0,97.0,,640406,HOTEL 1 NIGHT PRICE,West Midlands
2018-02-01,5084.0,640406,3.0,91.989998,,640406,HOTEL 1 NIGHT PRICE,South East
2007-09-01,326.0,640406,4.0,65.0,,640406,HOTEL 1 NIGHT PRICE,South West
2010-05-01,5295.0,640406,2.0,90.0,,640406,HOTEL 1 NIGHT PRICE,London
2005-02-01,345.0,640406,6.0,56.5,,640406,HOTEL 1 NIGHT PRICE,East Midlands
2010-05-01,440.0,640406,4.0,27.0,,640406,HOTEL 1 NIGHT PRICE,South West
2017-06-01,5006.0,640406,9.0,40.5,,640406,HOTEL 1 NIGHT PRICE,North West
2016-03-01,675.0,640406,9.0,79.989998,,640406,HOTEL 1 NIGHT PRICE,North West
2008-04-01,500.0,640406,9.0,44.0,,640406,HOTEL 1 NIGHT PRICE,North West
2006-03-01,504.0,640406,8.0,57.950001,,640406,HOTEL 1 NIGHT PRICE,Yorkshire & Humber
2010-09-01,400.0,640406,7.0,119.0,Q,640406,HOTEL 1 NIGHT PRICE,West Midlands
2006-02-01,675.0,640406,3.0,35.0,,640406,HOTEL 1 NIGHT PRICE,South East
2014-01-01,518.0,640406,2.0,216.0,,640406,HOTEL 1 NIGHT PRICE,London
2015-08-01,542.0,640406,2.0,93.0,S,640406,HOTEL 1 NIGHT PRICE,London
2011-01-01,465.0,640406,5.0,72.989998,,640406,HOTEL 1 NIGHT PRICE,East Anglia
2020-09-01,5257.0,640406,3.0,80.0,,640406,HOTEL 1 NIGHT PRICE,South East
2021-10-01,14310.0,640406,2.0,65.0,,640406,HOTEL 1 NIGHT PRICE,London
2013-06-01,372.0,640406,9.0,42.0,,640406,HOTEL 1 NIGHT PRICE,North West
2016-09-01,5120.0,640406,3.0,146.0,,640406,HOTEL 1 NIGHT PRICE,South East
2007-07-01,510.0,640406,9.0,85.0,,640406,HOTEL 1 NIGHT PRICE,North West
2008-01-01,518.0,640406,12.0,42.0,,640406,HOTEL 1 NIGHT PRICE,Scotland
2008-08-01,224.0,640406,6.0,50.0,,640406,HOTEL 1 NIGHT PRICE,East Midlands
2007-01-01,504.0,640406,8.0,70.0,,640406,HOTEL 1 NIGHT PRICE,Yorkshire & Humber
2017-04-01,464.0,640406,5.0,50.0,,640406,HOTEL 1 NIGHT PRICE,East Anglia
2013-12-01,5084.0,640406,3.0,87.25,,640406,HOTEL 1 NIGHT PRICE,South East
2011-01-01,5117.0,640406,10.0,69.0,,640406,HOTEL 1 NIGHT PRICE,North
2007-05-01,308.0,640406,12.0,54.950001,,640406,HOTEL 1 NIGHT PRICE,Scotland
2016-10-01,5028.0,640406,9.0,30.0,,640406,HOTEL 1 NIGHT PRICE,North West
2007-07-01,182.0,640406,6.0,35.0,,640406,HOTEL 1 NIGHT PRICE,East Midlands
2016-08-01,10585.0,640406,11.0,65.0,,640406,HOTEL 1 NIGHT PRICE,Wales
2006-05-01,503.0,640406,8.0,65.0,,640406,HOTEL 1 NIGHT PRICE,Yorkshire & Humber
2014-07-01,14598.0,640406,4.0,60.0,,640406,HOTEL 1 NIGHT PRICE,South West
2017-08-01,5084.0,640406,3.0,106.99,,640406,HOTEL 1 NIGHT PRICE,South East
2006-03-01,522.0,640406,2.0,32.25,,640406,HOTEL 1 NIGHT PRICE,London
2018-06-01,5021.0,640406,5.0,143.0,,640406,HOTEL 1 NIGHT PRICE,East Anglia
2007-05-01,503.0,640406,8.0,75.0,,640406,HOTEL 1 NIGHT PRICE,Yorkshire & Humber
2022-05-01,18027.0,640406,2.0,98.980003,,640406,HOTEL 1 NIGHT PRICE,London
2011-08-01,5043.0,640406,5.0,70.0,,640406,HOTEL 1 NIGHT PRICE,East Anglia
2007-02-01,507.0,640406,6.0,70.0,,640406,HOTEL 1 NIGHT PRICE,East Midlands
2012-04-01,5122.0,640406,11.0,60.0,,640406,HOTEL 1 NIGHT PRICE,Wales
2014-06-01,5099.0,640406,11.0,75.0,,640406,HOTEL 1 NIGHT PRICE,Wales
2019-11-01,15483.0,640406,4.0,60.0,,640406,HOTEL 1 NIGHT PRICE,South West
2011-02-01,5001.0,640406,8.0,90.0,,640406,HOTEL 1 NIGHT PRICE,Yorkshire & Humber
2019-11-01,674.0,640406,3.0,54.0,,640406,HOTEL 1 NIGHT PRICE,South East
2017-12-01,733.0,640406,3.0,183.33,,640406,HOTEL 1 NIGHT PRICE,South East
