name,date,zori,lat,lng,pop_2023
"Boston, MA",2015-08-01,2138.8460069206776,42.3188,-71.0852,4919179.0
"Phoenix, AZ",2015-08-01,978.515517937839,33.5722,-112.0892,5070110.0
"San Francisco, CA",2015-08-01,2426.6642152214768,37.7558,-122.4449,4566961.0
"Riverside, CA",2015-08-01,1372.465377215393,33.9381,-117.3949,4688053.0
"Detroit, MI",2015-08-01,891.1446054702888,42.3834,-83.1024,4342304.0
"Seattle, WA",2015-08-01,1446.879729677847,47.6211,-122.3244,4044837.0
"Minneapolis, MN",2015-08-01,1173.873468936972,44.9635,-93.2678,3712020.0
"San Diego, CA",2015-08-01,1738.9125226025897,32.8313,-117.1222,3269973.0
"Tampa, FL",2015-08-01,1108.4396452525305,27.9945,-82.4447,3342963.0
"Denver, CO",2015-08-01,1338.540680458439,39.762,-104.8758,3005131.0
"Baltimore, MD",2015-08-01,1330.8360550077232,39.3051,-76.6144,2834316.0
"St. Louis, MO",2015-08-01,888.6046794355964,38.6359,-90.2451,2796999.0
"Orlando, FL",2015-08-01,1170.81422075997,28.4773,-81.337,2817933.0
"Charlotte, NC",2015-08-01,1066.9977645792533,35.2083,-80.8303,2805115.0
"San Antonio, TX",2015-08-01,1057.6621343681804,29.4632,-98.5238,2703999.0
"Portland, OR",2015-08-01,1231.744723292823,45.5371,-122.65,2508050.0
"Sacramento, CA",2015-08-01,1311.3310471725958,38.5677,-121.4685,2420608.0
"Pittsburgh, PA",2015-08-01,1003.9082154105064,40.4397,-79.9763,2422725.0
"Cincinnati, OH",2015-08-01,907.0197839214704,39.1413,-84.506,2271479.0
"Austin, TX",2015-08-01,1235.7702213743855,30.3005,-97.7522,2473275.0
"Las Vegas, NV",2015-08-01,1021.2703205818656,36.2333,-115.2654,2336573.0
"Kansas City, MO",2015-08-01,911.507253899583,39.1238,-94.5541,2221343.0
